step,df,V,P,Q,I,action,reward,load_disturbance
110,-0.07977943122386932,0.9902259707450867,0.9214907288551331,0.345956414937973,0.9940075874328613,0.011446528136730194,-0.12831598380597256,0.35
111,-0.07821740955114365,0.9913630485534668,0.9235744476318359,0.3470255732536316,0.9952143430709839,0.011443412862718105,-0.1231707006891302,0.35
112,-0.08010725677013397,0.9932227730751038,0.9198203682899475,0.3413752019405365,0.9878197908401489,0.011386200785636902,-0.1288675789032259,0.35
113,-0.08005401492118835,0.9932281374931335,0.9236042499542236,0.3425757586956024,0.9918067455291748,0.01086988765746355,-0.12869061231022352,0.35
114,-0.07614747434854507,0.9934998154640198,0.9087622761726379,0.33682796359062195,0.9755169749259949,0.011204668320715427,-0.11645407747405523,0.35
115,-0.07631134241819382,0.9935317635536194,0.9107685685157776,0.34131184220314026,0.9789538979530334,0.00901799276471138,-0.1169284136355088,0.35
116,-0.07543443143367767,0.9926195740699768,0.9137265086174011,0.34136226773262024,0.9826623201370239,0.00950365699827671,-0.11439697774298407,0.35
117,-0.07638903707265854,0.990813136100769,0.910729169845581,0.3497489392757416,0.984623372554779,0.009769786149263382,-0.11759742940432882,0.35
118,-0.07633408159017563,0.9908826351165771,0.9178342223167419,0.34654876589775085,0.9901059865951538,0.010281793773174286,-0.11742200990307372,0.35
119,-0.07438655942678452,0.9926051497459412,0.9130908846855164,0.33673617243766785,0.9804544448852539,0.01074951235204935,-0.11127186581437222,0.35
120,-0.07557833939790726,0.9940451979637146,0.9136251211166382,0.3383016884326935,0.9800840616226196,0.009285992942750454,-0.11463985261892166,0.35
121,-0.07633084803819656,0.9931918382644653,0.9117010235786438,0.34098103642463684,0.9800513982772827,0.009443708695471287,-0.11703606593952198,0.35
122,-0.07910027354955673,0.9938884973526001,0.9181715846061707,0.3402027189731598,0.9851925373077393,0.009622570127248764,-0.12555686506685138,0.35
123,-0.0806463211774826,0.9931453466415405,0.9263760447502136,0.3425305485725403,0.9944908022880554,0.010491669178009033,-0.13060164433889188,0.35
124,-0.07898318022489548,0.9929673075675964,0.9135141372680664,0.3428558111190796,0.9826453328132629,0.011440557427704334,-0.12532705794845078,0.35
